,heur_naive,heur_naive_bis,heur_naive_triee_selon_poids,heur_naive_triee_selon_poids_depl_obj,heur_naive_triee_selon_poids_depl_obj_bis,heur_naive_triee_selon_poids_depl_obj_ter
bench_10_2,101,134,96,96,128,128
bench_10_3,123,145,92,92,94,94
bench_10_4,62,53,71,71,60,60
bench_10_5,166,159,86,86,110,110
bench_10_6,93,119,94,94,99,99
bench_10_7,81,91,86,80,73,75
bench_10_8,98,95,64,50,45,45
bench_10_9,111,122,40,40,45,46
bench_10_10,173,217,118,118,84,84
bench_10_11,83,98,83,77,74,75
bench_10_12,221,238,113,113,97,97
bench_10_13,205,212,145,145,141,141
bench_10_14,72,130,87,87,39,39
bench_10_15,137,122,55,45,56,56
bench_10_16,80,94,68,68,47,53
bench_10_17,111,135,85,85,85,85
bench_10_18,98,129,103,103,61,66
bench_10_19,108,131,58,58,46,46
bench_11_0,68,97,83,83,36,36
bench_11_1,113,128,100,100,84,84
bench_11_2,51,55,80,80,91,91
bench_11_3,142,198,108,108,85,85
bench_11_4,70,68,69,57,47,55
bench_11_5,68,94,85,85,62,68
bench_11_6,58,69,85,78,73,77
bench_11_7,54,116,78,78,51,51
bench_11_8,128,150,71,71,52,48
bench_11_9,137,133,100,100,59,59
bench_11_10,118,192,68,68,95,95
bench_11_11,68,86,43,33,21,21
bench_11_12,97,115,104,97,82,82
bench_11_13,83,83,97,97,88,88
bench_11_14,112,124,73,64,39,38
bench_11_15,71,108,68,56,66,66
bench_11_16,92,97,62,56,67,67
bench_11_17,182,193,101,101,57,57
bench_11_18,59,66,79,70,50,50
bench_11_19,109,106,20,20,24,24
bench_12_0,72,131,74,74,47,47
bench_12_1,69,80,67,67,47,47
bench_12_2,61,65,17,17,21,21
bench_12_3,212,196,105,105,118,118
bench_12_4,57,72,54,54,44,44
bench_12_5,31,36,56,56,48,56
bench_12_6,62,69,76,66,47,55
bench_12_7,90,110,39,39,39,39
bench_12_8,55,56,47,41,38,38
bench_12_9,64,69,56,46,39,42
bench_12_10,111,130,94,86,72,78
bench_12_11,58,67,94,94,66,64
bench_12_12,62,78,41,41,35,35
bench_12_13,56,72,73,61,58,60
bench_12_14,74,124,75,75,46,51
bench_12_15,75,141,58,50,37,41
bench_12_16,77,72,54,54,58,58
bench_12_17,70,113,89,89,66,66
bench_12_18,75,95,68,56,48,52
bench_12_19,132,157,65,65,41,41
bench_13_0,90,106,52,43,39,39
bench_13_1,87,69,79,64,72,73
bench_13_2,65,81,71,71,79,80
bench_13_3,83,87,61,56,64,64
bench_13_4,66,81,42,37,32,36
bench_13_5,48,71,66,57,34,39
bench_13_6,112,97,51,51,97,97
bench_13_7,99,143,58,58,51,51
bench_13_8,87,84,64,57,41,41
bench_13_9,43,44,51,51,37,48
bench_13_10,95,116,73,70,55,55
bench_13_11,117,139,84,84,60,60
bench_13_12,83,102,60,60,42,42
bench_13_13,89,112,66,66,41,41
bench_13_14,73,91,43,43,51,51
bench_13_15,78,137,63,63,48,48
bench_13_16,53,62,54,54,31,34
bench_13_17,61,64,46,35,61,61
bench_13_18,64,88,72,63,64,65
bench_13_19,58,71,55,55,52,59
bench_14_0,32,64,51,41,30,33
bench_14_1,62,89,70,70,87,87
bench_14_2,56,62,32,32,32,32
bench_14_3,61,59,61,49,49,49
bench_14_4,48,73,76,67,45,51
bench_14_5,39,44,41,34,36,36
bench_14_6,81,81,57,48,39,39
bench_14_7,125,146,57,57,52,52
bench_14_8,96,139,65,60,65,66
bench_14_9,91,134,98,98,43,43
bench_14_10,75,57,54,46,61,60
bench_14_11,74,88,64,64,70,70
bench_14_12,38,34,44,32,26,26
bench_14_13,37,76,50,43,32,32
bench_14_14,61,76,82,76,71,75
bench_14_15,113,123,75,75,68,68
bench_14_16,63,71,49,41,19,22
bench_14_17,48,66,26,26,35,35
bench_14_18,67,66,46,46,52,55
bench_14_19,109,110,65,55,54,54
bench_15_0,39,53,56,50,41,40
bench_15_1,91,101,65,60,41,44
bench_15_2,73,78,47,41,39,45
bench_15_3,55,68,47,39,36,36
bench_15_4,64,70,60,52,68,68
bench_15_5,57,63,40,40,39,49
bench_15_6,31,68,64,56,36,42
bench_15_7,41,62,54,54,34,34
bench_15_8,159,196,103,103,60,60
bench_15_9,96,139,70,63,48,48
bench_15_10,43,38,35,35,28,28
bench_15_11,80,85,63,53,38,38
bench_15_12,60,60,47,47,45,45
bench_15_13,60,62,41,41,27,28
bench_15_14,48,65,63,63,46,46
bench_15_15,18,28,41,31,9,9
bench_15_16,74,91,65,51,45,45
bench_15_17,51,80,58,58,36,36
bench_15_18,47,42,47,47,48,48
bench_15_19,47,51,57,51,51,51
bench_16_0,49,43,46,39,34,34
bench_16_1,30,52,38,32,26,26
bench_16_2,37,59,56,50,32,32
bench_16_3,55,60,37,30,14,18
bench_16_4,117,149,55,55,25,25
bench_16_5,74,91,45,45,28,28
bench_16_6,56,63,54,44,39,39
bench_16_7,57,73,51,39,30,30
